Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
22/9/1988,Foundation Cup,Caulfield,Ebeli Show,0.1,$7 ,LR,Greg Hall,John Leek Snr
22/9/1988,Sir Rupert Clarke Stakes,Caulfield,Rancho Ruler,1.8,$3.50F,G1,Harry White,Jim Marconi
22/9/1988,Thousand Guineas Prelude,Caulfield,Imposing Bloom,0.3,$4.50 ,LR,Garry Murphy,Don Baertschiger
22/9/1988,Underwood Stakes,Caulfield,Authaal,3,$8 ,G1,Brent Thomson,Colin Hayes
24/9/1988,ATC Breeders' Plate,Randwick,Show County,2.75,$6 ,G3,Mick Dittman,Max Wiggins
24/9/1988,Brian Crowley Stakes,Randwick,Temple Front,0.8,$9 ,LR,Shane Dye,Geoff Chapman
24/9/1988,Colin Stephen Quality,Randwick,Natski,0.8,$3F,G3,Gavan Duffy,Jack Denham
24/9/1988,Dulcify Quality,Randwick,Sakana,0.1,$4.50F,LR,Ken Russell,Brian Mayfield-Smith
24/9/1988,King Charles III Stakes,Randwick,Gennaker,0.4,$11 ,G1,Shane Dye,Geoff Chapman
24/9/1988,Reginald Allen Quality,Randwick,Pitti Palace,1.8,$34 ,LR,Craig Carmody,Tommy Smith
24/9/1988,Bill Stutt Stakes,Moonee Valley,Almurtajaz,0.1,$41 ,G2,Michael Clarke,Colin Hayes
24/9/1988,Feehan Stakes,Moonee Valley,Our Poetic Prince,1,$6.50 ,G2,Noel Harris,John Wheeler
24/9/1988,Black Heart Bart Stakes,Belmont,Ossie Pak,1.3,$5 ,LR,Shayne Miller,Warren Jeffreys
25/9/1988,Stocks Stakes,Moonee Valley,Hazy Pond,2.25,$1.50F,LR,John Didham,Rick Hore-Lacy
28/9/1988,Gimcrack Stakes,Randwick,Screen Idol,0.2,$1.75F,G3,Mick Dittman,Tommy Smith
28/9/1988,Maribyrnong Trial Stakes,Flemington,Western Music,1,$7 ,LR,Brent Thomson,Jim Campin
1/10/1988,Adelaide Guineas,Victoria Park,Dorchester,0.4,$7 ,G3,Peter Shepherd,Don Baertschiger
1/10/1988,Dequetteville Stakes,Victoria Park,Lunar Miss,0.8,$9 ,LR,Alf Matthews,Russell Cameron
1/10/1988,Fulham Park Plate,Victoria Park,New Logic,7,$2F,LR,Peter Shepherd,John Hawkes
1/10/1988,Canonbury Stakes,Randwick,Silver Appeal,2.8,$4.25 ,LR,Peter Cook,Neville Voigt
1/10/1988,Craven Plate,Randwick,Balciano,1.8,$1.57F,LR,Peter Cook,Neville Voigt
1/10/1988,Epsom Handicap,Randwick,Regal Native,0.1,$12 ,G1,Darren Beadman,Bob Thomsen
1/10/1988,Flight Stakes,Randwick,Research,1,$3.25F,G1,Mick Dittman,Clarry Conners
1/10/1988,Spring Champion Stakes,Randwick,Sakana,0.8,$9 ,G1,Ken Russell,Brian Mayfield-Smith
1/10/1988,Edward Manifold Stakes,Flemington,Riverina Charm,5.5,$4 ,G2,Darren Gauci,Brian Mayfield-Smith
1/10/1988,Gilgai Stakes,Flemington,Redelva,3,$1.90F,G3,Neville Wilson,Greg Varcoe
1/10/1988,Maribyrnong Trial Stakes,Flemington,Sculptured Arch,2,$4.25 ,LR,Barry Wyatt,Chris Parry
1/10/1988,Poseidon Stakes,Flemington,Speeding Fine,1.3,$15 ,LR,Michael Barlow,John Kennedy
1/10/1988,Turnbull Stakes,Flemington,Vo Rogue,1.75,$2.75F,G2,Cyril Small,Vic Rail
3/10/1988,Callander-Presnall Stakes,Randwick,From The Planet,5.25,$3.50F,LR,Ron Quinton,Bill Mitchell
