YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1830,ASCOT GOLD CUP,ASCOT (UK),4000,Lucetta,H Scott,Jem Robinson,ENGLAND,,,,,,,,,
1830,EPSOM DERBY,EPSOM,2420,Priarm,William Chifney,Sam Day,ENGLAND,,,,,,,,,
1830,EPSOM OAKS,EPSOM,2420,Variation,Bobby Pettit,George Edwards,ENGLAND,,,,,,,,,
1830,ST LEGER,DONCASTER,2921,Birmingham,Thomas Flintoff,Patrick Conolly,ENGLAND,,,,,,,,,
1830,UK 1000 GUINEAS,NEWMARKET,1600,Charlotte West,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1830,UK 2000 GUINEAS,NEWMARKET,1600,Augustus,Charles Marson,Patrick Conolly,ENGLAND,,,,,,,,,
1831,ASCOT GOLD CUP,ASCOT (UK),4000,Cetus,H Scott,Jem Robinson,ENGLAND,,,,,,,,,
1831,EPSOM DERBY,EPSOM,2420,Spaniel,J Rogers,Will Wheatley,ENGLAND,,,,,,,,,
1831,EPSOM OAKS,EPSOM,2420,Oxygen,Robert Stephenson,John Barham Day,ENGLAND,,,,,,,,,
1831,ST LEGER,DONCASTER,2921,Chorister,John Smith,John Barham Day,ENGLAND,,,,,,,,,
1831,UK 1000 GUINEAS,NEWMARKET,1600,Galantine,H Scott,Patrick Conolly,ENGLAND,,,,,,,,,
1831,UK 2000 GUINEAS,NEWMARKET,1600,Riddlesworth,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1832,ASCOT GOLD CUP,ASCOT (UK),4000,Camarine,H Scott,Jem Robinson,ENGLAND,,,,,,,,,
1832,EPSOM DERBY,EPSOM,2420,St Giles,J Webb,Bill Scott,ENGLAND,,,,,,,,,
1832,EPSOM OAKS,EPSOM,2420,Galata,Charles Marson,Patrick Conolly,ENGLAND,,,,,,,,,
1832,ST LEGER,DONCASTER,2921,Margrave,John Scott,Jem Robinson,ENGLAND,,,,,,,,,
1832,UK 1000 GUINEAS,NEWMARKET,1600,Galata,Charles Marson,Bill Arnull,ENGLAND,,,,,,,,,
1832,UK 2000 GUINEAS,NEWMARKET,1600,Archibald,,Arthur Purvis,ENGLAND,,,,,,,,,
1833,ASCOT GOLD CUP,ASCOT (UK),4000,Galata,Charles Marson,Bill Arnull,ENGLAND,,,,,,,,,
1833,EPSOM DERBY,EPSOM,2420,Dangerous,Isaac Sadler,Jem Chapple,ENGLAND,,,,,,,,,
1833,EPSOM OAKS,EPSOM,2420,Vespa,H. Scott,Jem Chapple,ENGLAND,,,,,,,,,
1833,ST LEGER,DONCASTER,2921,Rockingham,Richard Shepherd,Sam Darling,ENGLAND,,,,,,,,,
1833,UK 1000 GUINEAS,NEWMARKET,1600,Tarantella,John Robinson,Teddy Wright,ENGLAND,,,,,,,,,
1833,UK 2000 GUINEAS,NEWMARKET,1600,Clearwell,,Jem Robinson,ENGLAND,,,,,,,,,
1834,ASCOT GOLD CUP,ASCOT (UK),4000,Glaucus,John Scott,William Scott,ENGLAND,,,,,,,,,
1834,EPSOM DERBY,EPSOM,2420,Plenipotentiary,George Payne,Patrick Conolly,ENGLAND,,,,,,,,,
1834,EPSOM OAKS,EPSOM,2420,Pussy,William Day,John Barham Day,ENGLAND,,,,,,,,,
1834,ST LEGER,DONCASTER,2921,Touchstone,John Scott,George Calloway,ENGLAND,,,,,,,,,
1834,UK 1000 GUINEAS,NEWMARKET,1600,May-Day,John Doe,John Barham Day,ENGLAND,,,,,,,,,
1834,UK 2000 GUINEAS,NEWMARKET,1600,Glencoe,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1835,ASCOT GOLD CUP,ASCOT (UK),4000,Glencoe,James Edwards,Jem Robinson,ENGLAND,,,,,,,,,
1835,EPSOM DERBY,EPSOM,2420,Mundig,John Scott,Bill Scott,ENGLAND,,,,,,,,,
1835,EPSOM OAKS,EPSOM,2420,Queen of Trumps,John Blenkhorn,Tommy Lye,ENGLAND,,,,,,,,,
